 BTBT.out                                                                                                                                                                                                
 UwB97XD                       
 CC-pVDZ                       

************************************************************
                Mode    Frequency (cm-1)              lambda
                 132     1434.5057558148       -0.0262307804
                 133     1453.5453271717       -0.0153440727
                 134     1467.9632162583       -0.0158080300
                 135     1468.5632892638        0.0241050121
                 136     1469.2007487076       -0.0022512964
                 137     1471.8798101962        0.0233732444
                 138     1472.3778715053       -0.0444063534
                 139     1473.7579963546        0.0059934397
                 140     1477.5668588069       -0.0018823472
                 141     1477.5865635972        0.0130868928
                 142     1479.8259583278       -0.0099803067
                 143     1484.4126356242       -0.0167020468
                 144     1489.7870682035        0.0077977866
                 145     1490.6790039268        0.0446025534
                 146     1493.0335402819        0.0086358476
                 147     1519.7044900620       -0.0806388134
                 148     1532.8991329236       -0.2159550176
                 149     1557.0122307629       -0.1335979815
                 150     1576.7201156147       -0.1058138106
                 151     1630.4867984546        0.0848815359
                 152     1638.1374411963        0.1580519125
                 153     1657.9149618682       -0.0141368697
                 154     1689.1268034065       -0.3039269458
                 155     1692.6239872358       -0.0507108528
                 156     1704.1711404746        0.0720078661
                 157     3018.6511754028        0.0149938533
                 158     3020.0914523880       -0.0198740910
                 159     3021.8055916263       -0.0118067802
                 160     3022.7019421876       -0.0977989830
                 161     3027.8676977352       -0.0032724789
                 162     3035.1095977720        0.0761929907
                 163     3035.8856996392       -0.0058486151
                 164     3043.3238894631       -0.0558243164
                 165     3046.9206037601       -0.0193625213
                 166     3050.6646782897       -0.0137240430
                 167     3055.0958639051        0.0023364572
                 168     3064.0944688063        0.0064373340
                 169     3074.8428009371        0.0019861100
                 170     3082.7108634773        0.0052942967
                 171     3089.7982478887        0.0004998205
                 172     3095.2563445554       -0.0041816263
                 173     3103.0611000644       -0.0017244875
                 174     3124.8703238103        0.0016322712
                 175     3135.2569215459        0.0210157288
                 176     3172.2437823801        0.0064421684
                 177     3196.2548580494        0.0031355258
                 178     3201.7153826192        0.1692281888
                 179     3204.2483562253        0.0489672605
                 180     3206.3940286964       -0.0316422225
                 181     3207.5292180713       -0.0147678962
                 182     3213.2572758328        0.1638379654
                 183     3216.8227856376       -0.2579825277
                 184     3222.4932973723       -0.2331531985
                 185     3230.5054306900        0.0092327445
                 186     3240.9481285800       -0.0012409284
************************************************************
Effective HR- range (cm-1):    1000.0    1800.0
Effective HR- Factor:       1.18
Effective HR- Frequency:   1226.01

************************************************************
                Mode    Frequency (cm-1)             lambda+
************************************************************
                   1       -2.0618006190       -0.0188654625
                   2       -1.2008957223       -0.0627220826
                   3       -0.0265377530        0.0008483919
                   4        0.0109864304       -0.0006308372
                   5        0.0160694996       -0.0009080751
                   6        3.9991152166       -0.8750933541
                   7        8.6583562446        0.0012157541
                   8       11.7016200849       -0.1719830882
                   9       26.3421847144        0.6079565152
                  10       33.7387108790       -0.3411393534
                  11       36.5602262205        0.1342883852
                  12       43.6283740831        1.6676108770
                  13       50.4486935018        1.5388451134
                  14       55.8118402304       -0.0992736949
